lng,lat
-0.240502,51.506536
-0.218203,51.483449
-0.221450,51.503641
-0.234706,51.496198
-0.220039,51.484376
-0.206968,51.490831
-0.224046,51.503590
-0.182616,51.476518
-0.203012,51.485195
-0.213787,51.482212
-0.224850,51.505131
-0.223033,51.499978
-0.223484,51.503222
-0.234750,51.509957
-0.219406,51.504329
-0.230432,51.506115
-0.228906,51.489726
-0.224692,51.505489
-0.197430,51.473329
-0.241654,51.499090
-0.220583,51.503718
-0.221240,51.486822
-0.189762,51.477887
-0.216016,51.476761
-0.221946,51.509404
-0.223021,51.489187
-0.213309,51.494435
-0.202573,51.485368
-0.220152,51.485187
-0.215904,51.501758
-0.217554,51.485327
-0.223631,51.503135
-0.192996,51.476229
-0.224692,51.505489
-0.248349,51.497302
-0.183738,51.473658
-0.223021,51.489187
-0.212242,51.488574
-0.221578,51.515153
-0.225135,51.505226
-0.195294,51.480041
-0.204608,51.488547
-0.219262,51.504327
-0.224457,51.504136
-0.221271,51.504538
-0.222520,51.498352
-0.231296,51.506128
-0.192600,51.475323
-0.198755,51.479914
-0.189762,51.477887
-0.235266,51.492879
-0.228794,51.514903
-0.222871,51.493052
-0.199267,51.481541
-0.211305,51.468326
-0.234860,51.510858
-0.227273,51.516948
-0.224001,51.493608
-0.190644,51.477451
-0.238704,51.493380
-0.244191,51.496790
-0.204981,51.471737
-0.202422,51.485546
-0.222359,51.498799
-0.193699,51.473002
-0.230156,51.490914
-0.225143,51.512420
-0.197331,51.486817
-0.234613,51.509775
-0.222583,51.493047
-0.192408,51.480176
-0.224587,51.504498
-0.200653,51.482911
-0.221882,51.503648
-0.225851,51.505326
-0.221988,51.504638
-0.226061,51.514772
-0.225006,51.512238
-0.220647,51.513161
-0.234291,51.503206
-0.193649,51.466976
-0.200089,51.478946
-0.223343,51.503130
-0.189487,51.466642
-0.223203,51.503038
-0.203671,51.472076
-0.234612,51.491161
-0.191461,51.471349
-0.234607,51.495027
-0.221240,51.486822
-0.202909,51.476831
-0.224690,51.509265
-0.217246,51.504297
-0.200653,51.482911
-0.237193,51.506397
-0.080158,51.533067
-0.063004,51.560122
-0.073229,51.563978
-0.086706,51.531645
-0.070236,51.559702
-0.053756,51.550347
-0.077284,51.532840
-0.055035,51.564307
-0.077704,51.522865
-0.082986,51.530955
-0.079686,51.523707
-0.036046,51.549603
